define;sd
xmlSchemaSAXPlug;1
xmlSwitchInputEncoding;1
HAVE_LZMA_H;10
xmlReaderForDoc;1
TRIO_COMPILER_GCC;11
xmlDumpElementTable;1
LIBXML_OUTPUT_ENABLED;232
xmlSchemaValidateSetLocator;1
__DECCXX;4
xmlAddDocEntity;1
TRIO_STRING_PUBLIC;2
xmlNanoHTTPAuthHeader;1
xmlParseInNodeContext;1
xmlUCSIsMyanmar;1
xmlSchemaFreeWildcard;1
xmlXPathIsNodeType;1
_FILE_OFFSET_BITS;1
TRIO_C99;3
xmlNanoFTPCwd;1
xmlFreeValidCtxt;1
TRIO_PLATFORM_SUNOS;3
xmlNanoFTPList;1
xmlXPathRoot;1
xmlXPathVariableLookup;1
xmlXPathNextFollowing;1
xmlXPathRegisterVariable;1
DEBUG_SAX;2
xmlUCSIsHangulCompatibilityJamo;1
xmlExpNewCtxt;1
xmlSaveFlush;1
xmlNewTextChild;1
xmlHashSize;1
bottom_globals;28
xmlAddChild;1
xmlXPathErr;1
xmlTextReaderDepth;1
xmlListDup;1
xmlXPathNodeSetAdd;1
xmlSAXUserParseMemory;1
xmlFileOpen;1
xmlTextWriterEndAttribute;1
xmlTextWriterWriteVFormatDTDAttlist;1
